tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.95,0.4,0.9,0.15,0.8,0,0.0,0.0
0.95,0.4,0.9,0.15,1.0,0,0.0,0.0
0.95,0.4,0.9,0.2,0.6,0,0.0,0.0
0.95,0.4,0.9,0.2,0.8,0,0.0,0.0
0.95,0.4,0.9,0.2,1.0,0,0.0,0.0
0.95,0.6,0.8,0.1,0.6,0,0.0,0.0
0.95,0.6,0.8,0.1,0.8,0,0.0,0.0
0.95,0.6,0.8,0.1,1.0,0,0.0,0.0
0.95,0.6,0.8,0.15,0.6,0,0.0,0.0
0.95,0.6,0.8,0.15,0.8,0,0.0,0.0
0.95,0.6,0.8,0.15,1.0,0,0.0,0.0
0.95,0.6,0.8,0.2,0.6,0,0.0,0.0
0.95,0.6,0.8,0.2,0.8,0,0.0,0.0
0.95,0.6,0.8,0.2,1.0,0,0.0,0.0
0.95,0.6,0.9,0.1,0.6,0,0.0,0.0
0.95,0.6,0.9,0.1,0.8,0,0.0,0.0
0.95,0.6,0.9,0.1,1.0,0,0.0,0.0
0.95,0.6,0.9,0.15,0.6,0,0.0,0.0
0.95,0.6,0.9,0.15,0.8,0,0.0,0.0
0.95,0.6,0.9,0.15,1.0,0,0.0,0.0
0.95,0.6,0.9,0.2,0.6,0,0.0,0.0
0.95,0.6,0.9,0.2,0.8,0,0.0,0.0
0.95,0.6,0.9,0.2,1.0,0,0.0,0.0
