tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.9,0.6,0.9,0.1,1.0,11001,0.6107594936708861,0.9968184710480865
0.9,0.6,0.9,0.15,1.0,11001,0.6107594936708861,0.9968184710480865
0.9,0.6,0.9,0.2,1.0,11001,0.6107594936708861,0.9968184710480865
0.95,0.3,0.7,0.1,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.3,0.7,0.15,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.3,0.7,0.2,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.4,0.7,0.1,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.4,0.7,0.15,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.4,0.7,0.2,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.6,0.7,0.1,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.6,0.7,0.15,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.6,0.7,0.2,0.8,9683,0.5375860537419498,0.9966952390787979
0.95,0.3,0.8,0.1,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.3,0.8,0.15,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.3,0.8,0.2,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.4,0.8,0.1,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.4,0.8,0.15,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.4,0.8,0.2,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.6,0.8,0.1,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.6,0.8,0.15,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.6,0.8,0.2,0.8,9682,0.5375305351987564,0.9966948977483991
0.95,0.3,0.9,0.1,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.3,0.9,0.15,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.3,0.9,0.2,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.4,0.9,0.1,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.4,0.9,0.15,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.4,0.9,0.2,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.6,0.9,0.1,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.6,0.9,0.15,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.6,0.9,0.2,0.8,9308,0.5167666000444149,0.9966695315857327
0.95,0.3,0.7,0.1,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.3,0.7,0.15,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.3,0.7,0.2,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.4,0.7,0.1,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.4,0.7,0.15,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.4,0.7,0.2,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.6,0.7,0.1,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.6,0.7,0.15,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.6,0.7,0.2,0.6,9717,0.5394736842105263,0.9966038900895338
0.95,0.3,0.8,0.1,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.3,0.8,0.15,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.3,0.8,0.2,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.4,0.8,0.1,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.4,0.8,0.15,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.4,0.8,0.2,0.6,9716,0.5394181656673329,0.9966035405516673
